ID,DIR_NAME,STATUS,ELAPSED_MIN,BEST_AFFINITY,START_TIME,END_TIME
LIG_0078,LIG_0078__(2S)-2-(((3-(4-(benzyloxy)phenyl)-1-(4-nitrophenyl)-1H-pyrazol-4-yl)methyl)amino,DONE,1.88,-9.5229,2026-03-18 14:22:51,2026-03-18 14:24:44
LIG_0079,LIG_0079__N-((3-(4-(benzyloxy)phenyl)-1(4-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.27,-10.5576,2026-03-18 14:24:44,2026-03-18 14:27:00
LIG_0080,LIG_0080__3-(((3-(4-((4-chlorobenzyl)oxy)phenyl)-1(4-nitrophenyl)-1H-pyrazol-4-yl)methyl)a,DONE,1.97,-11.3051,2026-03-18 14:27:00,2026-03-18 14:28:58
LIG_0081,LIG_0081__N-((3-(4-((4-chlorobenzyl)oxy)phenyl)-1(4-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L,DONE,1.70,-9.2152,2026-03-18 14:28:58,2026-03-18 14:30:40
LIG_0082,LIG_0082__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-leucin,DONE,1.76,-9.6571,2026-03-18 14:30:40,2026-03-18 14:32:26
LIG_0083,LIG_0083__N-(((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)amino)-L-,DONE,1.89,-9.5343,2026-03-18 14:32:26,2026-03-18 14:34:19
LIG_0084,LIG_0084__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-phenyla,DONE,1.96,-10.5287,2026-03-18 14:34:19,2026-03-18 14:36:17
LIG_0085,LIG_0085__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1-phenyl-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.12,-10.5110,2026-03-18 14:36:17,2026-03-18 14:38:24
LIG_0086,LIG_0086__N-((3-(4-((3-chlorobenzyl)oxy)phenyl)-1(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-L,DONE,2.12,-9.7261,2026-03-18 14:38:24,2026-03-18 14:40:31
LIG_0087,LIG_0087__((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1Hpyrazol-4-yl)methyl)-L-alanin,DONE,1.45,-10.3879,2026-03-18 14:40:31,2026-03-18 14:41:58
LIG_0088,LIG_0088__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-methionin,DONE,1.79,-9.7539,2026-03-18 14:41:58,2026-03-18 14:43:46
LIG_0089,LIG_0089__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-leucin,DONE,1.71,-10.0852,2026-03-18 14:43:46,2026-03-18 14:45:28
LIG_0090,LIG_0090__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-isoleucin,DONE,1.73,-8.4977,2026-03-18 14:45:28,2026-03-18 14:47:12
LIG_0091,LIG_0091__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-valin,DONE,1.59,-8.6130,2026-03-18 14:47:12,2026-03-18 14:48:48
LIG_0092,LIG_0092__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-tyrosin,DONE,2.03,-10.7034,2026-03-18 14:48:48,2026-03-18 14:50:49
LIG_0093,LIG_0093__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-phenylala,DONE,1.94,-10.5094,2026-03-18 14:50:49,2026-03-18 14:52:46
LIG_0094,LIG_0094__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-tryptopha,DONE,2.19,-9.8445,2026-03-18 14:52:46,2026-03-18 14:54:58
LIG_0095,LIG_0095__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-threonin,DONE,1.64,-9.6086,2026-03-18 14:54:58,2026-03-18 14:56:36
LIG_0096,LIG_0096__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-aspartic_,DONE,1.74,-9.4178,2026-03-18 14:56:36,2026-03-18 14:58:20
LIG_0097,LIG_0097__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-arginin,DONE,2.38,-9.9049,2026-03-18 14:58:20,2026-03-18 15:00:44
LIG_0098,LIG_0098__N-((3-(2-(benzyloxy)phenyl)1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)-L-glutamic_,DONE,1.85,-9.2498,2026-03-18 15:00:44,2026-03-18 15:02:35
LIG_0099,LIG_0099__3-(((3-(2-(benzyloxy)phenyl)-1-(4-bromophenyl)-1H-pyrazol-4-yl)methyl)amino)benz,DONE,1.63,-10.6256,2026-03-18 15:02:35,2026-03-18 15:04:12
LIG_0100,LIG_0100__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.72,-8.9771,2026-03-18 15:04:12,2026-03-18 15:05:56
LIG_0101,LIG_0101__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.47,-8.7289,2026-03-18 15:05:56,2026-03-18 15:07:24
LIG_0102,LIG_0102__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.81,-10.8199,2026-03-18 15:07:24,2026-03-18 15:09:13
LIG_0103,LIG_0103__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.83,-8.8016,2026-03-18 15:09:13,2026-03-18 15:11:02
LIG_0104,LIG_0104__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.21,-10.5279,2026-03-18 15:11:02,2026-03-18 15:13:15
LIG_0105,LIG_0105__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.07,-10.9956,2026-03-18 15:13:15,2026-03-18 15:15:19
LIG_0106,LIG_0106__N-((1-(4-bromophenyl)-3-(2-((4-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.36,-11.1155,2026-03-18 15:15:19,2026-03-18 15:17:41
LIG_0107,LIG_0107__N-((3-(2-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.01,-10.2894,2026-03-18 15:17:41,2026-03-18 15:19:41
LIG_0108,LIG_0108__N-((3-(2-((3-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.73,-10.2731,2026-03-18 15:19:41,2026-03-18 15:21:25
LIG_0109,LIG_0109__N-((3-(2-((2-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol4-yl)methyl)-ʟ,DONE,2.22,-10.8392,2026-03-18 15:21:25,2026-03-18 15:23:38
LIG_0110,LIG_0110__N-((1-(4-bromophenyl)-3-(2-((3-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.80,-9.1357,2026-03-18 15:23:38,2026-03-18 15:25:26
LIG_0111,LIG_0111__N-((3-(2-((2-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.87,-9.4622,2026-03-18 15:25:26,2026-03-18 15:27:18
LIG_0112,LIG_0112__N-((1-(4-bromophenyl)-3-(2-((3-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)g,DONE,1.48,-9.7634,2026-03-18 15:27:18,2026-03-18 15:28:47
LIG_0113,LIG_0113__N-((3-(2-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,2.24,-9.5497,2026-03-18 15:28:47,2026-03-18 15:31:01
LIG_0114,LIG_0114__N-((3-(2-((4-chlorobenzyl)oxy)phenyl)-1-(3-nitrophenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.74,-10.2712,2026-03-18 15:31:01,2026-03-18 15:32:46
LIG_0115,LIG_0115__N-((1-(4-bromophenyl)-3-(2-((3-chlorobenzyl)oxy)phenyl)-1H-pyrazol-4-yl)methyl)-,DONE,1.50,-9.6269,2026-03-18 15:32:46,2026-03-18 15:34:16
